pair,sharpe_ratio,volatility,avg_trade_duration,total_trades,total_profit,profit_per_year,total_buy_trades,total_sell_trades,profit_loss_by_pair,max_loss,avg_win,avg_loss
EURUSD_GBPUSD,-0.03180773255766552,2425.8108884075823,6 days 10:09:54.136807817,307,-23687.980000000003,"{2020: 7162.5, 2021: -10502.539999999999, 2022: -6736.489999999998, 2023: 9041.050000000001, 2024: 10994.560000000001, 2025: -33647.06}",153,154,-23687.980000000003,-15334.28,368.3729391891892,-12066.033636363636
EURNZD_AUDCHF,0.11218723196487265,2028.09442061856,6 days 08:59:34.015748031,127,28895.839999999997,"{2020: 7637.48, 2021: -12029.1, 2022: -5215.880000000001, 2023: 8908.45, 2024: 15500.34, 2025: 14094.55}",69,58,28895.839999999997,-15044.2,564.0339344262295,-7983.260000000002
AUDUSD_USDCAD,0.32638147233684855,854.3156224563489,18 days 19:01:16.744186046,43,11989.81,"{2020: 1308.66, 2021: 1545.03, 2022: 2529.05, 2023: 6376.34, 2024: 1842.33, 2025: -1611.6}",23,20,11989.81,-4180.79,520.2179487179488,-2074.6724999999997
GBPNZD_NZDCAD,0.15515881923472824,1686.9389027760637,8 days 18:29:21.206896551,116,30362.239999999998,"{2021: 6295.369999999999, 2022: -7883.92, 2023: 17637.89, 2024: 6482.76, 2025: 7830.139999999999}",71,45,30362.239999999998,-15024.84,569.3399090909091,-5377.525000000001
USDCAD_AUDCHF,0.4932686415661125,762.4527665289112,12 days 14:54:14.545454545,99,37233.31,"{2020: 1157.4800000000002, 2021: 11144.77, 2022: 5335.5599999999995, 2023: 7415.46, 2024: 6288.150000000001, 2025: 5891.89}",52,47,37233.31,-4505.75,523.3465263157893,-3121.1525
USDCHF_EURCAD,0.38821891811498194,832.0754505245077,14 days 09:14:46.238532110,109,35209.990000000005,"{2020: 3236.94, 2021: 5548.86, 2022: 8671.63, 2023: 10415.41, 2024: 4737.46, 2025: 2599.69}",63,46,35209.990000000005,-4898.31,526.5084158415842,-2245.92
NZDUSD_GBPAUD,-0.035437978625625415,1780.1662342030138,21 days 06:29:09.295774648,71,-4479.070000000001,"{2020: 491.86000000000024, 2021: 867.8299999999999, 2022: -2733.9500000000003, 2023: 1195.4500000000003, 2024: 5893.3, 2025: -10193.56}",43,28,-4479.070000000001,-7427.61,529.3980952380953,-4728.893749999999
EURUSD_USDCAD,0.35268326624851604,822.1858369553366,16 days 07:30:30.508474576,59,17108.3,"{2020: 3549.0200000000004, 2021: 1936.96, 2022: -854.52, 2023: 9133.01, 2024: 1893.2999999999997, 2025: 1450.5300000000002}",31,28,17108.3,-3677.18,532.1301886792452,-1849.0999999999997
USDJPY_NZDCAD,0.24922947632085954,1252.8137907653536,9 days 05:35:00,32,9991.619999999999,"{2023: 6580.78, 2024: 6590.44, 2025: -3179.6}",13,19,9991.619999999999,-5096.84,625.3956666666668,-4385.125
USDCAD_NZDUSD,0.3707213709196139,783.2608563710285,15 days 04:27:30,52,15099.32,"{2020: 6434.84, 2021: 257.6000000000001, 2022: 2251.35, 2023: 2885.06, 2024: -295.55999999999995, 2025: 3566.03}",36,16,15099.32,-2902.22,526.0304255319148,-1924.8219999999997
EURGBP_GBPCAD,0.04728967950509054,1475.4466668036773,32 days 16:16:42,50,3488.6700000000005,"{2020: -189.5600000000004, 2021: 100.71000000000015, 2023: 2309.41, 2024: 2024.26, 2025: -756.15}",31,19,3488.6700000000005,-5929.89,528.1075555555556,-4055.2340000000004
USDCAD_CADJPY,0.09918689556564346,1330.773117603339,22 days 07:29:24.406779661,59,7787.720000000001,"{2020: 4066.05, 2021: 1430.22, 2022: -5856.280000000001, 2023: 4559.84, 2024: 5702.07, 2025: -2114.1800000000003}",29,30,7787.720000000001,-6056.57,529.375,-2819.968571428571
